Positive	Negative	Text
2	-1	I wanna do Doctor Who research too!!! springerlink [6136973]
1	-1	The Gendered Culture of Scientific Competence A Study of Scientist Characters in Doctor Who 19632013 springerlink [6136973]
1	-1	"Youre Underestimating Me and You Shouldnt" Womens Agency in Fantasy Sports [6142850]
1	-1	"Youre Underestimating Me and You Shouldnt" Womens Agency in Fantasy Sports gendersociety [6142850]
1	-1	Research shows little change in gender stereotyping since 1983 Depressing [6147115]
1	-1	New research on the persistence and pervasiveness of gender stereotypes flags a warning to those evaluating women an [6147115]
1	-1	New paper shows INCREASE in stereotyping of women's gender roles from early '80s to 2014 psychology anthropology [6147115]
1	-1	Gender stereotypes in the US just as strong today as they were 30yrs ago, new study finds equality [6147115]
1	-1	New paper shows INCREASE in stereotyping of women's gender roles from early '80s to 2014 psycholog [6147115]
1	-1	Session on stereotypes Recent research shows gender stereotypes are still strong EgaliteProCNRS [6147115]
1	-1	Free access to an article puiblished in Psychology of Women Quarterly [6147115]
1	-1	About gender, but it demonstrates that changing the system doesn't address everything [6147115]
3	-2	I hope so, but I doubt her other assertions as well [6147115]
1	-3	Blank slatism the total lack of ability to see the obvious [6147115]
1	-3	Study finds gender stereotypes are just as strong as they were 30 years ago, in some cases they've gotten worse [6147115]
1	-2	Study finds that people exaggerate the extent to which men and women are different from one another [6147115]
1	-1	The Times They Are a-Changing   or Are They Not? A Comparison of Gender Stereotypes, 19832014 [6147115]
3	-1	Comparison of gender stereotypes (19832014) reveals no real change despite greater female workforce participation [6147115]
1	-1	How have gender stereotypes changed in the last 30 years? [6147115]
1	-1	Many gender stereotypes haven't changed in last 30 yrs, despite women's advances in workforce, athletics, education [6147115]
1	-1	Have gender stereotypes changed over the last 30 years? Not really [6147115]
1	-1	Psychology of Women Quarterly - [6147115]
1	-1	Comparison between gender stereotyping in 1984 vs 2014 shows people stereotype MORE about women now Yay progress [6147115]
1	-1	During the past 30 years, womens participation in the workforce, in athletics, and in professional education has [6147115]
1	-1	part of the reason why gender identity is so easily accepted [6147115]
1	-1	Comparison between gender stereotyping in 1984 vs 2014 shows people stereotype MORE about women now Yay progress  [6147115]
1	-1	The Times They Are a-Changing  or Are They Not? A Comparison of Gender Stereotypes, 19832014 [6147115]
1	-2	queer theorists and transactivists should take that in their pipe and smoke it [6147115]
1	-1	4 Many gender stereotypes haven't changed in30 yrs, despite advances in workforce, athletics, edu toptweets2016 [6147115]
1	-2	Lower-median income for female-dominated occupations [6147115]
1	-1	4 Many gender stereotypes haven't changed in30 yrs, despite advances in workforce, athletics, edu [6147115]
1	-2	One of 2016's top-read articles from   A comparison of gender stereotypes, 1983-2014 (spoiler they persist) [6147115]
1	-2	One of 2016's top-read articles from   A comparison of gender stereotypes, 1983-2014 (spoiler [6147115]
1	-1	The Times They Are a-Changingor Are They Not? A Comparison of Gender Stereotypes, 19832014 Find the results here [6147115]
2	-4	No improvement in gender stereotyping 1983-2014 in USA (and for "female" roles, stereotyping got worse!) [6147115]
1	-1	The "durability of basic stereotypes about women and men over the past three decades", study published this month [6147115]
1	-3	On the (frustrating) persistence of gender stereotypes [6147115]
1	-1	The Times They Are a-Changing  or Are They Not? A Comparison of Gender Stereotypes, 19832014 - Mar 09, 2016 [6147115]
1	-1	Research gender stereotypes sticky in past 30 yrs (views of men slower to change)   HBSGW2017 [6147115]
1	-1	Research gender stereotypes sticky in past 30 yrs (views of men slower to change)   HB [6147115]
2	-1	New Sexual Acceptability of Contraception 1st 2016 ARSR paper is up w/free access! I'll be tweeting abt it next wk [6157331]
3	-1	Great quote from a new paper by one of my   colleagues Paper is openaccess [6157331]
2	-1	New Sexual Acceptability of Contraception 1st 2016 ARSR paper is up w/free access! I'll be tweeting abt it next wk htt [6157331]
2	-1	Today starts a week of epic tweeting about Higgins and Smith's "Sexual Acceptability of Contraception!" FREE access! [6157331]
2	-1	Today starts a week of epic tweeting about Higgins and Smith's "Sexual Acceptability of Contraception!" FREE access!  [6157331]
1	-1	So, today I continue my epic (to me) tweeting of Higgins and Smith's "Sexual Acceptability of Contraception" FREE at [6157331]
1	-1	So, today I continue my epic (to me) tweeting of Higgins and Smith's "Sexual Acceptability of Contraception" FREE at  [6157331]
2	-1	I've been tweeting from the new Sexual Acceptability of Contraception paper by Higgins and Smith, FREE at More later! [6157331]
3	-1	Ha ha! Tweeting abt 1st article in journal (ARSR) I edit Sexual acceptability of contraception, free at [6157331]
3	-1	Exciting new study by GWS's Jenny Higgins on how sex matters to women in choosing and using contraceptives [6157331]
3	-1	Exciting new study by GWS's Jenny Higgins on how sex matters to women in choosing and using contraceptives   htt [6157331]
1	-1	Continuing on with tweeting from Higgins and Smith Sexual Acceptability of Contraception FREE/OPEN Acess [6157331]
3	-1	Great review article on how contraceptive methods influence women's sexual experiences [6157331]
1	-1	I'm continuing tweeting from "Sexual Acceptability of Contraception" by Higgins and Smith, FREE ARSR article in JSR [6157331]
2	-1	More from Higgins and Smith's Sexual Acceptability of Contraception, Free! [6157331]
2	-1	More on sexual acceptability of contraception tomorrow! Free access to this ARSR article in JSR! [6157331]
2	-1	MOAR Sexual Acceptability of Contraception today! Higgins and Smith, free Annual Review of Sex Research article at JSR [6157331]
2	-1	Reminder! Quotations are direct quotes but, otherwise, I'm paraphrasing from [6157331]
2	-1	Back to Higgins and Smith's Sexual Acceptability of Contraceptives! Open Access [6157331]
1	-1	Go check out  ' tweeting of a paper on sexual acceptability of contraceptive methods [6157331]
1	-1	I'm continuing tweeting from "Sexual Acceptability of Contraception" by Higgins and Smith, FREE ARSR article in JSR  [6157331]
1	-1	I've been tweeting from the new Sexual Acceptability of Contraception paper by Higgins and Smith, FREE at [6157331]
2	-1	Ok, folks! That's "all" for today WHEW Check out full article OPEN ACCESS And stay tuned tomorrow for conclusions! [6157331]
2	-1	MOAR Sexual Acceptability of Contraception today! Higgins and Smith, free Annual Review of Sex Research article at JSR htt [6157331]
3	-1	Today Last day I'm tweeting "Sexual Acceptability of Contraception", but it's open access so the fun never stops! [6157331]
2	-1	Online with FREE open access! [6157331]
1	-1	The sexual acceptability of BirthControl for women Review of the literature [6157331]
3	-1	Contraceptives can and do affect pleasure as do other sex drugs New rsch focus [6157331]
1	-1	Higgins and Smith say more attention needed on sexual acceptability of contraception They review lit, map concept in [6157331]
1	-1	How do women view contraceptives sexual accessibility? Read this new concept in the Journal of Sex Research [6157331]
1	-1	The Sexual Acceptability of Contraception Reviewing the Lit and Building a New Concept HT [6157331]
1	-1	The Sexual Acceptability of Contraception Reviewing the Lit and Building a New Concept HT   [6157331]
3	-3	Voluntarily childfree individuals were seen as less psychologically fulfilled and elicited greater moral outrage [6164135]
1	-1	Parenthood as a Moral Imperative? Moral Outrage and the Stigmatization of Voluntarily Childfree Adults springerlink [6164135]
1	-1	Parenthood as a Moral Imperative? Moral Outrage and the Stigmatization of Voluntarily Childfree Adults  [6164135]
1	-4	Decided not to have kids? People you don't even know are morally outraged! familyvalues [6164135]
1	-1	This is the only part that's at all surprising [6164135]
3	-2	This is an amazing sentence in a paper about the stigma associated with childlessness [6164135]
1	-3	Research finds people morally outraged when someone is childless (could this outrage be stronger in Utah?) [6164135]
1	-5	Research finds people outraged, angry, disgusted toward someone who is childless Could outrage be stronger in Utah? [6164135]
1	-1	Parenthood Moral Outrage and the Stigmatization of Voluntarily Childfree Women and Men - h/t [6164135]
1	-2	I've definitely experienced the awkward silence that comes after telling someone you don't have kids Especially if you tell them why [6164135]
1	-2	I've definitely experienced the awkward silence that comes after telling someone you don't have kids Especially if yo [6164135]
1	-1	Parenthood Moral Outrage and the Stigmatization of Voluntarily Childfree Women and Men - h/ [6164135]
1	-1	Imagine being 30 y/o childfree person living on campus next to family housing in Utah [6164135]
2	-1	This is *not* insignificant Study, while interesting, focuses on "students" but conclusions presented as broader [6164135]
2	-1	This is *not* insignificant Study, while interesting, focuses on "students" but conclusions presented as broader  [6164135]
1	-1	Evidence for child-free people being a stigmatised group Quite unsurprising [6164135]
1	-2	Yet another angle on the complicated politics of reproduction [6164135]
1	-1	Parenthood as a Moral Imperative? Moral Outrage and the Stigmatization of Voluntarily Childfree Women and Men [6164135]
1	-1	Multidimensional Gender Identity and Gender-Typed Relationship Styles in Adolescence [6164799]
1	-1	Gender-Typed Play and Social Abilities in Boys and Girls Are They Related? [6165401]
1	-1	Perceived Stigma of Postpartum Depression Symptoms in Low-Risk First-Time Parents Gender Differences men women [6174057]
1	-1	I Feel Like More of a Man  Masculinity, Sexual Performance, and Circumcision for HIV Prevention - J Sex Res - [6174378]
2	-1	For Dominican men who get circumcised 4 HIV prevention, circumcision makes them "feel more like a man" [6174378]
2	-1	For Dominican men who get circumcised 4 HIV prevention, circumcision makes them "feel more like a man" masculinity [6174378]
1	-1	I Feel Like More of a Man Masculinity, Sexual Performance and Circumcision for HIV Prevention [a] HT [6174378]
1	-1	I Feel Like More of a Man Masculinity, Sexual Performance and Circumcision for HIV Prevention [a] [6174378]
3	-1	Thank you to Journal of Sex Research for publishing our article on LGBTQ microaggressions! [6176543]
1	-1	Microaggressions Toward Lesbian, Gay, Bisexual, Transgender, Queer, and Genderqueer People -  via   LGBT [6176543]
3	-1	Thank you to Journal of Sex Research for publishing our article on LGBTQ microaggressions!  [6176543]
1	-1	Microaggressions Toward Lesbian, Gay, Bisexual, Transgender, Queer, and Genderqueer People -  via @ [6176543]
1	-1	The latest from  's   on microagressions toward lgbtq individuals [6176543]
1	-1	LGBTQ/genderqueer Microaggressions what's the research say? New ARSR article  HT [6176543]
2	-1	LGBTQ/genderqueer Microaggressions what's the research say? New ARSR article online by  's group! [6176543]
1	-1	The latest from  's   on microagressions toward lgbtq individuals @ [6176543]
1	-1	Microaggressions Toward LGBTQ and Genderqueer People A Review of the Literature - The Journal of Sex Research - [6176543]
2	-1	Next wk, I tweet from   et al's Microaggressions Towards LGBTQ/genderqueer People FREE TOO! Stay tuned! [6176543]
1	-1	Microaggressions Toward LGBTQ people [6176543]
2	-1	Next wk, I tweet from   et al's Microaggressions Towards LGBTQ/genderqueer People FREE TOO! [6176543]
2	-1	Here we go! I'm starting to tweet   et al's article Microaggressions to LGBTQ/Gq people Free! [6176543]
2	-3	More on microaggressions against LGTBQ/Gq people tomorrow! Free Annual Review of Sex Research article at JSR! [6176543]
2	-1	More tweeting tomorrow from Microaggressions Against LGBTQ/Gq people! FREE ARSR paper online at JSR! [6176543]
2	-1	It's FREE online at Journal of Sex Research (where ARSR is published as a special issue) [6176543]
2	-2	Here we go! I'm continuing to tweet from Nadal et al's Microaggressions against LGBTQ/Gq folks FREE online at [6176543]
2	-1	Tweeting all wk  's article on LGBTQ/Gq microaggressions in Annual Review of Sex Research at JSR, FREE! [6176543]
2	-1	Howdy! Tweets (by me) starting on LGBTQ/Gq microaggressions by   et al, FREE ARSR article at JSR [6176543]
4	-1	Sounds great! You should be in touch with  , the author of the paper I'm tweeting [6176543]
2	-1	Tweeting all wk  's article on LGBTQ/Gq microaggressions in Annual Review of Sex Research at JSR, FREE!  [6176543]
2	-1	As a reminder quotations are direct quotes, otherwise I'm paraphrasing from (free!) [6176543]
1	-3	Later on, intersectional microaggressions against LGBTQ/Gq folks! From Nadal et al's free ARSR article [6176543]
2	-1	This is the paper I'm tweeting from (that said this!) [6176543]
2	-3	Ok! Intersectional aggressions against LGBTQ/Gq folks I'm tweeting from Kevin Nadal's article, FREE online [6176543]
1	-1	Folks, I've been tweeting from Microaggressions Towards LGBTQ/Gq People, by Kevin Nadal et al, free online at [6176543]
2	-1	I'm about to start the end of tweeting  's ARSR paper on LGBTQ/Gq microaggressions! FREE! [6176543]
1	-2	LitReview on the negative impact of microaggressions t/ lesbian, gay, bisexual, trans and queer ppl LGBTQ [6176543]
1	-1	If only someone had taken an impartial, objective look at the effect such words actually have [6176543]
1	-1	Microaggressions Toward Lesbian, Gay, Bisexual, Transgender, Queer, and Genderqueer People A Review of the [6176543]
1	-1	Media and Sexualization - New Annual Review of Sex Research article by Monique Ward, online Free when I tweet in 2 wks [6198654]
2	-1	(It's already free online! [6198654]
4	-1	Yes! I'm tweeting from this fabulous Annual Review of Sex Research article, now online andfree! [6198654]
2	-1	Ok, folks! That's all for TODAY's tweeting of Sexualization and Media from Monique Ward's ARSR paper free at JSR [6198654]
1	-1	This wk, I'm tweeting Media and Sexualization, Monique Ward's Annual Review of Sex Research article FREE at JSR [6198654]
2	-3	ReviewMedia and sexualisation - increased body dissatisfaction self-objectification and support of sexist beliefs [6198654]
2	-1	It's Sexualization and Media time! I'll be tweeting this ARSR paper (free at JSR) by Monique Ward all week -- and now! [6198654]
1	-1	As a reminder, I'm tweeting from Monique Ward's Media and Sexualization ARSR paper, free at [6198654]
2	-1	That's it for today! More tomorrow from Media and Sexualization, free at JSR [6198654]
2	-1	It's Sexualization and Media time! I'll be tweeting this ARSR paper (free at JSR) by Monique Ward all week -- and now! htt [6198654]
1	-1	  Media and Sexualization by Monique Ward Free ARSR article at JSR [6198654]
2	-1	It's time! I'm tweeting from Media and Sexualization by Monique Ward Free ARSR article at JSR [6198654]
2	-1	In the meanwhile, the Annual Review of Sex Research article is free online at Journal of Sex Research! [6198654]
1	-3	There are broader harms to society when women are sexualised and objectified [6198654,6198654]
1	-2	My concerns are evidence based [6198654,6198654]
1	-3	The research shows there are harms to society when women are sexualised and objectified [6198654]
1	-3	Objectification can lead to harm for others who are exposed to it [6198654,6198654]
1	-2	My concern is for all women who are negatively impacted by sexualisation/objectification [6198654]
2	-1	I'm abt to finish tweeting Ward's Media and Socialization, a free Annual Review of Sex Research article online at JSR! [6198654]
2	-1	I'm abt to finish tweeting Ward's Media and Socialization, a free Annual Review of Sex Research article online at JSR! htt [6198654]
2	-1	And, that's Ward's Media and Sexualization! Free here! [6198654]
1	-1	Review of wide-ranging effects of exposure to sexualized images of women in the media psychology media gender [6198654]
1	-4	Large review 125 studies shows negative impact by main stream media on sex, increasing sex'l violence H/t [6198654]
2	-4	Lit review Exposure to mainstream media leads to traditional gender and sexist views tolerance of sexual violence [6198654]
1	-1	New review "Media and Sexualization State of Empirical Research, 19952015" [6198654]
1	-1	To women and society as a whole WomenNotObjects [6198654]
2	-1	Hi   please read the research on sexualised media and the consequences for women and girls [6198654]
2	-1	Hi   please read the research on sexualised media and the consequences for women and girls ht [6198654]
2	-1	10 year meta analysis on sexualisation There is research for both sides, astounding! [6198654]
3	-4	Studies showing sexualised advertising contributes greatly to violence against women [6198654]
1	-1	Some interesting research here on the impact of sexualisation [6198654]
1	-2	My concerns are evidence based See this study re sexual objectification [6198654]
1	-2	These ads have harmful mental health implications for the viewer [6198654]
1	-2	These ads have harmful mental health implications for the viewer    [6198654]
1	-2	So research that goes against 20 years of research? [6198654]
1	-2	This research suggests objectifying images are harmful for a range of reasons including VAW [6198654]
1	-2	Research shows sexual objectification harmful [6198654]
1	-1	Click on the references tab, its all there You can stop debating now [6198654]
1	-2	20 years of research summarized here Sexual objectification of women clearly harmful [6198654]
1	-1	20 years of research summarized here Sexual objectification of women [6198654]
1	-3	20 years of research on the harms of sexually objectifying images - [6198654]
2	-3	Hey   please read the research on harms of sexualisation [6198654]
2	-3	Hey   please read the research on harms of sexualisation    [6198654]
1	-3	20 years of research on sexualisation of women and the harms here [6198654]
1	-4	More porn use = thinking rape is ok  That is not ok at all   ItsOnUs pornharms  SAPro sachat mondaymotivation [6198654]
1	-1	Media and Sexualization State of Empirical Research, 19952015 [6198654]
1	-3	Will   be taking into account the 20 years of research on harms of objectification? [6198654]
1	-3	Will   be taking into account the 20 years of research on harms of objectification?  [6198654]
1	-2	20yrs of research shows that sexualisation is harmful to all of us [6198654]
1	-3	Feel free to look at the 20 years of research on the topic including the harms [6198654]
1	-2	20yrs of research shows that sexualisation is harmful to all of us    [6198654]
2	-3	Hi   - you may be interested in the latest research on sexually objectifying portrayals of women and the harms [6198654]
3	-3	Great study here showing two decades of research on harms of sexual objectification [6198654]
1	-2	On the contrary Challenging sexualisation essential [6198654]
3	-1	Hi   why is your Instagram so porn-inspired? Haven't you seen the research? [6198654]
3	-1	Hi   why is your Instagram so porn-inspired? Haven't you seen the research?  [6198654]
1	-1	(This will be my last tweet to you) Engage with the decades of research here &gt&gt [6198654]
2	-3	Please read the research on the harms of sexually objectifying portrayals of women here &gt&gt [6198654]
1	-1	Nope We are evidence based [6198654]
1	-1	I dont, theres 20yrs of research here &gt&gt [6198654]
1	-2	Sexually objectifying portrayals of women in advertising have quite harmful consequences Research &gt&gt [6198654]
1	-1	WomenNotobjects [6198654]
1	-2	Sexually objectifying portrayals of women are harmful Research &gt&gt [6198654]
1	-1	Why can't a woman just be topless on a beach just like a man without it being sexual? [6198654]
1	-3	Its not really about offending people There are harmful consequences for girls [6198654]
2	-2	What you like or dont like is not our concern Research shows sexualisation is harmful [6198654]
2	-3	Please see research on harms of sexual objectification here &gt&gt [6198654]
1	-3	Well said     need to exercise corporate social responsibility Research on harms clear [6198654]
1	-1	And heres what the research says about sexually objectifying portrayals of women [6198654]
3	-4	Link Makes you despair given rise of porno How to counter this as a society that values respect and equality? [6198654]
1	-2	New article on millennial women managing workplace inequalities saying yes/ fitting in/ challenging norms [6204036]
1	-2	some self promo--my article on geny and everyday inequalities at work let me know if you want a copy [6204036]
1	-2	Who we are at work millennial women, everyday inequalities and insecure work [6204036]
2	-2	Thanks for this   My contribution to examining gendered precarious work for genY is here  CanFem [6204036]
2	-2	Thanks for this   My contribution to examining gendered precarious work for genY is here [6204036]
1	-2	Who we are at work millennial women, everyday inequalities and insecure work, by Nancy Worth, [6204036]
1	-4	Gender based violence against men and boys during mass conflict menshealth gender [6204972]
1	-1	Important work by CLA's Gabrielle Ferrales on how mass atrocities are gendered [6204972]
1	-1	Gender-Based Violence Against Men and Boys in Darfur The Gender - Genocide Nexus [Paywall] [6204972]
1	-1	Gender-Based Violence Against Men and Boys in Darfur [6204972]
1	-4	Gender-based violence against men and boys in Darfur the gender-genocide nexus [6204972]
2	-1	Sexually inexperienced adults aren't highly desired as relationship partners - not even by their own kind [6205089]
1	-1	Has Virginity Lost Its Virtue? Relationship Stigma Associated With Being a Sexually Inexperienced Adult   h [6205089]
1	-2	A study of "the stigma associated with being a sexually inexperienced adult" [6205089]
1	-2	Is there a stigma around being a sexually inexperienced adult? Read the new report in The Journal of Sex Research [6205089]
1	-1	MT   Has Virginity Lost Its Virtue? Relationship Stigma Associated w/ Being Sexually Inexperienced [6205089]
3	-2	Has virginity lost its virtue? Kinsey research finds that sexual "late bloomers" may experience social stigma &gt&gt [6205089]
1	-3	virginity-phobia? How have we come to this? Staying a virgin may have negative interpersonal consequences for youth [6205089]
1	-1	MT   Has Virginity Lost Its Virtue? Relationship Stigma Associated w/ Being Sexually Inexperienced htt [6205089]
3	-2	Has virginity lost its virtue? Kinsey research finds that sexual "late bloomers" may experience social stigma &gt&gt  [6205089]
1	-1	it's 2016 and there are still social scientists who define sex as coitus smdh stillavirgin [6205089]
1	-1	Has Virginity Lost Its Virtue? Relationship Stigma Associated With Being a Sexually Inexperienced Adult [6205089]
4	-1	Chastity no longer a plus Virgins not viewed as desirable rltnshp partners, even by other virgins By [6205089]
1	-1	Has Virginity Lost Its Virtue? Relationship Stigma Associated With Being a Sexually Inexperienced Adult /free access [6205089,6205089]
1	-1	is virginity the new scarlet letter? // see also [6205089]
1	-1	Access 2 Jnl of Sex Research articles featured on Broadly (and [6205089,13306502]
1	-1	Routledgepsych Access 2 Jnl of Sex Research articles featured on Broadly ( [6205089]
3	-2	Has virginity lost its virtue? Kinsey researchers examined the relationship stigma of being sexually inexperienced [6205089]
3	-1	Academic writing that's very interesting - Has Virginity Lost Its Virtue? - From Kinsey Reaserchers - [6205089]
3	-1	SexSciSociety  kinseyinstitute Has virginity lost its virtue? Kinsey researchers examined the relationship  [6205089]
3	-1	nRICHd_Pursuits  SexSciSociety  kinseyinstitute Has virginity lost its virtue? Kinsey researchers examin [6205089]
3	-2	Has virginity lost its virtue? Kinsey researchers examined the relationship stigma of being sexually inexperienced ht [6205089]
1	-1	Mens Zero-Sum Gender Beliefs and Mental Health Findings From Chile, Croatia Psychology of Men and Masculinity [6210424]
1	-1	Link btw mens zero-sum gender beliefs andmental health Findings frm ChileandCroatia    [6210424]
2	-1	A new study on 1 of my favourite topics  How Condom Discontinuation Occurs Interviews With Emerging Adult Women [6218587]
1	-1	MT   How Condom Discontinuation Occurs Interviews With Emerging Adult Women [6218587,6218587]
1	-1	How Condom Discontinuation Occurs Interviews With Emerging Adult Women via [6218587]
1	-1	For young cpls, decision to stop using condoms neither deliberate nor planned usually preceded by sporadic nonuse [6218587]
1	-1	Sexual Intimacy Constructions of Hetero Couples Living in a Low Income, Colored, Farmworker Community in S Africa [6218980,6218980]
1	-1	Sexual Intimacy Constructions of Hetero Couples Living in a Low Income, Colored, Farmworker Community in S Africa h [6218980]
1	-1	I am the Man Masculinity, of Voluntary Medical Adult Male Circumcision for HIV Prevention in South Africa [6219278]
2	-1	and it will be free access in a few weeks when I tweet it! [6230131]
3	-1	Does it have to be genetic to be protected? Great article on "immutability" in LGBT rights and where we go from here [6230131]
2	-1	This Annual Review of Sex Research article will be free online at Journal of Sex Research when I tweet it! [6230131]
2	-1	FREE now! Scrutinizing Immutability Research on Sexual Orientation and US Legal Advocacy for Sexual Minorities [6230131]
2	-1	It's free online now! [6230131]
2	-1	It's by   and Clifford Rosky It's free (!!) online at Quotes are direct, otherwise I paraphrase [6230131]
2	-1	As a reminder, I'm tweeting this Annual Review of Sex Research article, free online at Journal of Sex Research! [6230131]
1	-1	it's an Annual Review of Sex Research article by Lisa Diamond and Clifford Rosky FREE at JSR [6230131]
2	-1	Yes! "The legal rights of individuals" do not "depend on a certain pattern of scientific findings" [6230131]
1	-1	I'm continuing my tweeting from Lisa Diamond and Clifford Rosky's article, free here [6230131]
1	-1	I've been tweeting from this Annual Review of Sex Research article free at Journal of Sex Research [6230131]
1	-1	It's a free Annual Review of Sex Research article online at JSR [6230131]
2	-1	As a reminder, I'm tweeting from this article! [6230131]
2	-1	And that's it! I've been tweeting from this Annual Review of Sex Research article, FREE online at JSR [6230131]
1	-1	Scrutinizing Immutability Research on Sexual Orientation and US Legal Advocacy for Sexual Minorities [6230131]
2	-1	Interesting review article on the immutability of same sex sexuality [6230131]
1	-1	Scrutinizing Sexual Orientation Immutability [6230131]
2	-4	this is funny sure but I hate this argument and it's unjust [6230131]
1	-2	"The immutability of sexual orientation should no longer be invoked as a foundation for gay/bisexual rights" [6230131]
2	-1	Like, as an A/V aid for discussing   and Clifford Rosky's "Scrutinizing Immutability" piece [6230131]
1	-1	Sexual Aggression Perpetration History, Emotion Regulation - Mens Aggressive Responding Following Social Stress [6230995]
1	-1	Groundbreaking stuff, indeed [6231931]
1	-1	"Men Wanted" Heterosexual Aesthetic Labor in the Masculinization of the Hair Salon gendersociety [6231931]
1	-1	Men wanted heterosexual aesthetic labor in the masculinization of the hair salon [6231931]
1	-1	An academic paper on how men's hair salons neutralise male entitlement to women's bodies [not The Onion] [6231931]
1	-1	How men's hair salons naturalize mens entitlement to womens bodies [6231931]
1	-1	Does the Glass Escalator Compensate for Devaluation of Care Work Occupations? Men in Low-Skill Health Care Jobs [6231979]
2	-1	Does the 'Glass Escalator' compensate for devaluation of 'feminised' occupations such as care work? [6231979]
3	-1	If you liked   on pink collar work, read more about what happens when men move into (health) care [6231979]
1	-1	Empowered spaces? Management articulations of gendered spaces in apparel factories in Karachi, Ruwanpura and Hughes, [6254594]
3	-1	A fantastic paper by Carly Nichols on food security in India [6262751]
2	-2	Time Ni Hota Hai time poverty and food security in the Kumaon hills, India--just published in [6262751]
2	-2	Time Ni Hota Hai time poverty and food security in the Kumaon hills, India by Carly E   poverty food [6262751]
1	-1	Time Ni Hota Hai timepoverty and foodsecurity in the Kumaon hills, India by Carly E Nichols, [6262751]
1	-2	I have a new review of Kassner's Rwanda and the Moral Obligation of Humanitarian Intervention out (gated, sadly) [6285308]
1	-1	The Growing Influence of Gender Attitudes on Public Support for Hillary Clinton, 20082012 [6315004]
1	-1	Politics and Gender - The Growing Influence of Gender Attitudes on Public Support for Hillary Clinton, 20082012 [6315004]
3	-3	Amazing how many think sexism doesn't hurt female candidates Evidence to the contrary [6315004,3922763]
1	-2	have you actually looked at the cited research, or are you dismissing it out of hand? [6315004]
2	-2	In other words, people who reject feminism and endorse rigid gender roles are less likely to support HRC See [6315004]
1	-1	Politics and Gender - Women and Political Leadership in an Authoritarian Context A Case Study of the Sixth [6315013]
1	-3	Gender-related intolerance is key issue in childhood peer victimization/bullying Our new research springerlink [6331894]
1	-1	Intersectionality and water how social relations intersect with ecological difference, by Thompson, [6351736]
1	-1	Global policy paradigms, gender equality and everyday lives in Beijing, Hong Kong, Seoul and Taipei [6374116]
1	-1	Global policy paradigms, gender equality and everyday lives in Beijing, Hong Kong, Seoul and Taipei, Kennett et al, [6374116]
1	-1	Global policy paradigms, gender equality and everyday lives in Beijing, Hong Kong, Seoul and Taipei, Kennett et al,  [6374116]
1	-1	When straight men have sex with each others its well, there's a book about that [6407109]
1	-1	Book Review Not Gay Sex between Straight White Men by Jane Ward [6407109]
1	-3	Strategies and methods to study female-specific cardiovascular health and disease bsd [6407898]
1	-3	Strategies to study female-specific cardiovascular health and disease bsd [6407898]
2	-1	Online now at JSR! Will be free when I tweet (in a few weeks) [6410378]
2	-1	It's here, and will be free when I tweet it! [6410378]
2	-2	But it's still free to read/download now! "When sex and power collide An argument for critical sexuality studies" [6410378]
2	-1	It's an Annual Review of Sex Research article, free online at JSR for now! [6410378]
2	-1	And that's all for today! I've been tweeting from this Annual Review of Sex Research article, free online at JSR [6410378]
1	-1	This Annual Review of Sex Research article is free online at JSR [6410378]
1	-1	Free online at [6410378]
1	-2	Routledgepsych When sex and power collide An argument for critical sexuality studies FREE from the Annual Revie [6410378]
1	-2	When sex and power collide An argument for critical sexuality studies FREE from the Annual Review of Sex Research @ [6410378]
1	-2	When sex and power collide An argument for critical sexuality studies FREE from the Annual Review of Sex Research @ htt [6410378]
1	-1	This is a piece  When Sex and Power Collide An Argument for Critical Sexuality Studies [6410378]
1	-1	When Sex and Power Collide An Argument for Critical Sexuality Studies [6410378]
2	-1	Also online at JSR now, and also free in a few weeks when I tweet it! [6410407]
1	-1	Adolescents and pornography - a review of 20yrs of research ARSR via [6410407]
1	-1	Review Porno use in young associated permissive sexual attitudes and stronger gender-stereotypical sexual beliefs [6410407]
1	-4	Lit Review Porn use in teens linked to permissive sexual attitudes, CasualSex, and sexual aggression/victimization [6410407]
1	-1	What does 20 years of research tell us about the impact of porn on [6410407]
1	-1	A 20-year review of porn and teens from the experts SexEd SexSci [6410407]
1	-1	Adolescents and Pornography A Review of 20 Years of Research [6410407]
1	-2	Another comprehensive study showing all the disagreements and new findings [6410407]
1	-2	Another comprehensive study showing all the disagreements and new findings ht [6410407]
3	-1	I am really pleased to see the Queer/ing Regions special issue out in [6418385]
1	-1	Check out my review of Ammons and Kelly's "Work and Family in the New Economy" in Gender and Society [6458371]
1	-1	Expression profile of androgen-modulated microRNAs in the fetal murine lung [6473368]
1	-1	Impact of Bems gender schema theory [6479324]
1	-1	Rewriting apartheid South Africa race and space in Miriam Tlali and Lauretta Ngcobos novels, by Barbara Boswell, [6481320]
2	-1	A new Annual Review of Sex Research article online! "The Complexities of Sexual Consent Among College Students" [6485100]
2	-1	For more on sexual consent, See also THIS Annual Review of Sex Research article ! Free when I tweet it, soon! [6485100]
1	-1	What can social science tell us abt SexualAssault on campus? Review of research lit tackles issues of consent [6485100]
1	-1	Did you know experts have written extensively about the research on sexual consent on campus? Check it out free [6485100]
1	-4	In a he said-she said rape case, you never really know Oh wait - that's not what leading experts say Check out [6485100]
